day_of_year,hour,consumption
50,6,0.153414599
50,7,0.160127842
50,8,0.170749408
50,9,0.180741929
50,10,0.187022059
50,11,0.188507016
50,12,0.187197367
50,13,0.187743913
50,14,0.18388715
50,15,0.180587246
50,16,0.180958486
50,17,0.19265252
50,18,0.19780862
50,19,0.199809187
50,20,0.19626179
50,21,0.188135777
50,22,0.181216291
50,23,0.170914403
51,0,0.162479023
51,1,0.156477323
51,2,0.155301732
51,3,0.156384513
51,4,0.161097188
51,5,0.174338053
51,6,0.204057814
51,7,0.22368193
51,8,0.235778141
51,9,0.240171138
51,10,0.242182017
51,11,0.242460446
51,12,0.242841998
51,13,0.241140485
51,14,0.235809077
51,15,0.233829135
51,16,0.234293184
51,17,0.23985146
51,18,0.239583343
51,19,0.238180883
51,20,0.231529514
51,21,0.215463107
51,22,0.200448544
51,23,0.186795191
52,0,0.177091411
52,1,0.171460949
52,2,0.168542597
52,3,0.16879009
52,4,0.17343058
52,5,0.182453755
52,6,0.207172098
52,7,0.224011921
52,8,0.234592238
52,9,0.237129039
52,10,0.23614938
52,11,0.235561585
52,12,0.235417214
52,13,0.23685061
52,14,0.23272573
52,15,0.231044841
52,16,0.234190062
52,17,0.241171421
52,18,0.244326955
52,19,0.24355354
52,20,0.236974356
52,21,0.221433871
52,22,0.205893385
52,23,0.193374374
53,0,0.183680906
53,1,0.17624581
53,2,0.173399643
53,3,0.175090844
53,4,0.179040416
53,5,0.190136344
53,6,0.21416377
53,7,0.232065749
53,8,0.240552689
53,9,0.242749188
53,10,0.240532065
53,11,0.242512007
53,12,0.242171705
53,13,0.241573597
53,14,0.237407468
53,15,0.23581939
53,16,0.236128756
53,17,0.243419481
53,18,0.246337834
53,19,0.245657228
53,20,0.239356474
53,21,0.223723179
53,22,0.208151757
53,23,0.193405311
54,0,0.184175892
54,1,0.179050729
54,2,0.176658298
54,3,0.176926415
54,4,0.181278164
54,5,0.190476646
54,6,0.214081272
54,7,0.23132327
54,8,0.239913333
54,9,0.238552123
54,10,0.232158559
54,11,0.231993563
54,12,0.2324473
54,13,0.234911916
54,14,0.234581926
54,15,0.233695076
